Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
FAX,Aberdeen Asia-Pacific Income Fund Inc,7.89,2059098620.16,n/a,1986,n/a,n/a,http://www.nasdaq.com/symbol/fax
IAF,Aberdeen Australia Equity Fund Inc,9.99,225515468.79,n/a,1985,n/a,n/a,http://www.nasdaq.com/symbol/iaf
CH,"Aberdeen Chile Fund, Inc.",15.13,142017699.61,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ch
ETF,Aberdeen Emerging Markets Telecommunications and Infrastructur,20.11,165840433.15,n/a,1992,n/a,n/a,http://www.nasdaq.com/symbol/etf
FCO,"Aberdeen Global Income Fund, Inc.",13.981,128002891.709,n/a,1992,n/a,n/a,http://www.nasdaq.com/symbol/fco
IF,"Aberdeen Indonesia Fund, Inc.",13.52,111836385.44,n/a,1990,n/a,n/a,http://www.nasdaq.com/symbol/if
ISL,"Aberdeen Israel Fund, Inc.",12.86,54924931.4,n/a,1992,n/a,n/a,http://www.nasdaq.com/symbol/isl
AXK,Accelr8 Technology Corporation,3.65,92461577.35,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axk
ACU,Acme United Corporation.,10.828,33710021.956,n/a,1988,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acu
AQ            ,Acquity Group Limited,6.76,158970931.6,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/aq            
AE,"Adams Resources & Energy, Inc.",34.33,144790070.68,n/a,n/a,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/ae
ADK,Adcare Health Systems Inc,4.26,62444617.86,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/adk
ADK^A,Adcare Health Systems Inc,24,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adk^a
API,"Advanced Photonix, Inc.",0.55,17138630.85,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/api
ANX,"ADVENTRX Pharmaceuticals, Inc.",0.61,29108812.65,n/a,n/a,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anx
ACY,AeroCentury Corp.,13.19,20355559.83,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/acy
AIM,Aerosonic Corporation,3.5,13456523.5,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aim
AA^,Alcoa Inc.,87.4,0,n/a,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/aa^
AXX,Alderon Iron Ore Corp.,1.3,168927417.1,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/axx
AXU,Alexco Resource Corp,3.73,225399789.54,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/axu
ANV,Allied Nevada Gold Corp.,33.13,2971388353.76,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/anv
AAU,"Almaden Minerals, Ltd.",2.54,150424695.34,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aau
APT,"Alpha Pro Tech, Ltd.",1.48,30436481.2,n/a,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/apt
DIT,AMCON Distributing Company,60,38027580,n/a,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/dit
APP,American Apparel Inc,0.904,96221130.816,n/a,1994,Finance,Business Services,http://www.nasdaq.com/symbol/app
ADGE,American DG Energy Inc.,2.09,100672081.4,n/a,n/a,Energy,Electric Utilities: Central,http://www.nasdaq.com/symbol/adge
ALN,American Lorain Corporation,1.35,46585629.9,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/aln
AMS,American Shared Hospital Services,2.64,12159496.8,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/ams
AQQ,"American Spectrum Realty, Inc.",3.9999,14258759.5221,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aqq
AXN,"Aoxing Pharmaceutical Company, Inc.",0.2698,13407662.9756,n/a,n/a,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/axn
AGX,"Argan, Inc.",18.12,249573373.8,n/a,n/a,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/agx
ARR/WS,Armour Residential R,0.02,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/arr/ws
HRT,Arrhythmia Research Technology Inc.,2.18,6083320.52,n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/hrt
ATC,ATC Venture Group Inc.,0.15,1066099.2,n/a,1986,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/atc
ATL,Atlatsa Resources Corporation,0.15,30283270.95,n/a,1986,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/atl
AZC,Augusta Resource Corporation,2.51,361649318.94,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/azc
AZK,"Aurizon Mines, Ltd.",3.88,638387368.76,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/azk
AWX,Avalon Holdings Corporation,4,15213324,n/a,n/a,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/awx
AVL,"Avalon Rare Metals, Inc.",1.4,145070780.4,n/a,1980,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/avl
ASM,Avino Silver,1.7846,48402663.5936,n/a,1992,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/asm
BONE,"Bacterin International Holdings, Inc.",1.26,53677063.44,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/bone
BKR,Baker (Michael) Corporation,18.44,177884779.2,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/bkr
BTN,"Ballantyne Strong, Inc",3.16,44392858.68,n/a,1995,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/btn
BKJ,"Bancorp of New Jersey, Inc",10.04,52277597.28,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bkj
BCV,"Bancroft Convertible Fund, Inc.",16.27,86483347.7,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bcv
BAA,BANRO CORPORATION,2.88,581384269.44,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/baa
BHB,"Bar Harbor Bankshares, Inc.",33.42,131054090.34,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bhb
BRN,"Barnwell Industries, Inc.",3.35,27728486,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/brn
BXE,Bellatrix Exploration Ltd,4.3,462709601.2,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/bxe
BIR^A,"Berkshire Income Realty, Inc.",27.65,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bir^a
BTX,"BioTime, Inc.",3.52,179149414.4,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/btx
BMJ,Birks & Mayors Inc.,0.8498,12605602.6278,n/a,n/a,Consumer Services,Consumer Specialties,http://www.nasdaq.com/symbol/bmj
BZM,BlackRock Maryland Municipal Bond Trust,18.12,37540707.96,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/bzm
BLE,BlackRock Municipal Income Trust II,17.08,399704195.8,n/a,1992,n/a,n/a,http://www.nasdaq.com/symbol/ble
BLJ,Blackrock New Jersey Municipal Bond Trust,18.8,43666478,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/blj
BFY,BlackRock New York Municipal Income Trust II,17.05,85004428.85,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/bfy
BPS,BlackRock Pennsylvania Strategic Municipal Trust (The),16.24,32944122.96,n/a,1994,n/a,n/a,http://www.nasdaq.com/symbol/bps
BHV,BlackRock Virginia Municipal Bond Trust,21.8,34473975,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/bhv
BDR,"Blonder Tongue Laboratories, Inc.",1.15,7147889.4,n/a,1995,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/bdr
BVX,Bovie Medical Corporation,3,53339886,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/bvx
BWL/A,"Bowl America, Inc.",12.75,0,n/a,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/bwl/a
BZC,Breeze-Eastern Corporation,8.33,79269887.69,n/a,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/bzc
BRD,Brigus Gold Corp,0.9651,218062594.3086,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/brd
